Pub_ID,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies,"""Form""",Record_ID,Notes
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,pullatus,null,null,sp0000000266,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,punctodes,null,null,sp0000000267,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,punctor,null,null,sp0000000268,
pub0000000002,Culicinae,Aedini,Aedes,Kompia,purpureipes,null,null,sp0000000269,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,rempeli,null,null,sp0000000270,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,riparius,null,null,sp0000000271,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,scapularis,null,null,sp0000000272,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,schizopinax,null,null,sp0000000273,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,sollicitans,null,null,sp0000000274,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,spencerii,null,null,sp0000000275,
pub0000000002,Culicinae,Aedini,Aedes,Ochlerotatus,squamiger,null,null,sp0000000276,
